case_id,section,surface,role,environment,phase,release_ref,priority,gate,coverage_mode,scenario,preconditions_or_test_data,expected_result,definition_ref,evidence_ref,workflow_state,result,verified_at,executor,approver,notes_or_risk
OPS-002,Ops / Integrations,운영/연계 > 예외 큐,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,저장 필터 저장/적용,예외 큐 진입 / steps=1) 유형/표시수 선택 2) 필터 저장 3) 칩 또는 드롭다운으로 적용,저장 필터가 유지되고 다시 적용된다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,,Ready,Not Run,,,,필터 저장/적용 성공: QA 회귀 1773758456
OPS-003,Ops / Integrations,운영/연계 > 예외 큐,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,기본 필터 지정,저장 필터 존재 / steps=1) 기본 사용 지정 2) 탭 재진입,역할별 기본 필터가 자동 적용된다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,,Ready,Not Run,,,,기본 필터 재진입 유지 확인
OPS-004,Ops / Integrations,운영/연계 > 예외 큐,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,다중 소스 보강 이동,소스/곡/커버 예외 존재 / steps=1) 여러 건 선택 2) 선택 항목 소스 보강,선택 항목이 소스 보강 탭 작업대로 이동한다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,"browser:qa-library.muzlife.com 2026-04-18 / exception queue -> source workbench handoff / screenshots:/tmp/ops-source-missing.png,/tmp/ops-bulk-source-handoff.png",Verified,Pass,2026-04-18T14:12:07+09:00,Codex,,SOURCE_MISSING 1건 선택 -> sourceWorkbenchCount=1건 | sourceWorkbenchStatus=선택 항목을 소스 보강으로 이동: 1건
OPS-005,Ops / Integrations,운영/연계 > 예외 큐,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,다중 실물 기준 맞춤,보관 규격 예외 존재 / steps=1) 여러 건 선택 2) 선택 항목 실물 기준 맞춤,권장 보관 규격이 실물 규격으로 일괄 맞춰진다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,live:/owned-items/bulk-update 2026-04-18 / preferred storage alignment probe,Verified,Pass,2026-04-18T14:12:07+09:00,Codex,,owned_item_id=1283 | updated_count=1 | preferred=LP
OPS-006,Ops / Integrations,운영/연계 > 장식장,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,장식장 등록,운영/연계 진입 / steps=1) 장식장명/규격/층/칸 입력 2) 장식장 생성,층/칸 슬롯이 일괄 생성된다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,live:/storage-cabinets/register 2026-04-18 / cabinet slot creation probe,Verified,Pass,2026-04-18T14:12:07+09:00,Codex,,QA CABINET 1776489048 | slots=6
OPS-007,Ops / Integrations,운영/연계 > 슬롯,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,개별 슬롯 수정,슬롯 존재 / steps=1) 슬롯 선택 2) 값 수정 3) 저장,슬롯 값이 저장되고 대시보드에 반영된다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,,Ready,Not Run,,,,개별 슬롯 수정 성공 | slot_id=1604 | 02층/03칸
OPS-008,Ops / Integrations,운영/연계 > 계정,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,관리 계정 생성,운영/연계 진입 / steps=1) 새 계정 정보 입력 2) 저장,새 계정이 즉시 로그인 가능 상태로 생성된다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,live:/ops-auth-accounts + /auth/login 2026-04-18 / managed operator account probe,Verified,Pass,2026-04-18T14:12:07+09:00,Codex,,user=qaop1776489048 | role=OPERATOR
OPS-009,Ops / Integrations,운영/연계 > 계정,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,시스템 계정 읽기 전용,기본 계정 존재 / steps=1) 기본 계정 선택,수정/삭제가 제한되고 안내 문구가 보인다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,,Ready,Not Run,,,,시스템 계정 읽기 전용 확인 | system_accounts=3
OPS-010,Ops / Integrations,운영/연계 > 백업/내보내기,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,DB 백업 다운로드,운영/연계 진입 / steps=1) DB 백업 다운로드 클릭,백업 파일이 다운로드된다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,script:scripts/run_smoke_qa.py 2026-04-18 / qa smoke pass,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,DB 백업 다운로드 성공 | bytes=17592320
OPS-011,Ops / Integrations,운영/연계 > 백업/내보내기,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,보유 상품 CSV 다운로드,운영/연계 진입 / steps=1) 보유 상품 CSV 클릭,CSV가 정상 다운로드되고 헤더/행이 올바르다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,api:/ops/export/owned-items.csv 2026-04-18 / qa admin download check,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,보유 상품 CSV 다운로드 성공 | owned_item_id,label_id,category,item_name,status,signature_type,size_group,preferred_storage_size_group,album_master_id,purchase_source,memory_note,cabinet_name,column_code,cell_code,artist,format_name,released_date,label_name,catalog_no,barcode
OPS-012,Ops / Integrations,운영/연계 > 백업/내보내기,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,마스터 CSV 다운로드,운영/연계 진입 / steps=1) 마스터 CSV 클릭,CSV가 정상 다운로드된다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,api:/ops/export/album-masters.csv 2026-04-18 / qa admin download check,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,마스터 CSV 다운로드 성공 | album_master_id,source_code,source_master_id,title,artist,release_year,member_count,updated_at
OPS-013,Ops / Integrations,운영/연계,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,백업/내보내기 서브탭 열림,관리자 로그인 / steps=1) 운영/연계 진입 2) 백업/내보내기 클릭,백업/내보내기 패널이 열리고 다운로드 버튼 3개가 표시된다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,pytest:tests/test_ops_shell_bootstrap.py export panel trio 2026-04-18,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,백업/내보내기 패널 표시 확인 | opsExportPanel wired | buttons=DB/Owned/Master
OPS-014,Ops / Integrations,운영/연계,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,DB 백업 다운로드 버튼 반응 및 실제 파일 생성,"관리자 로그인, 백업/내보내기 패널 열림 / steps=1) DB 백업 다운로드 클릭 2) 상태 메시지 확인 3) 다운로드 파일 생성 확인",상태 메시지가 바뀌고 DB 백업 파일이 실제로 다운로드된다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,api:/ops/export/db-backup 2026-04-18 / qa admin download check,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,DB 백업 다운로드 및 파일 생성 확인 | content-disposition=attachment | bytes=17592320
SYS-002,Ops / Integrations,운영/연계 > 시스템 상태,관리자,qa,Pre-release,main@5409b8c,P1,Non-blocking,Hybrid,운영/연계 시스템 상태 패널,관리자 로그인 / steps=1) 운영/연계 진입 2) 시스템 상태 확인,앱 상태/외부 주소/로그 경로/최근 로그가 표시된다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,browser QA smoke 2026-04-18 / system status panel visible,Verified,Pass,2026-04-18T13:00:03+09:00,Codex,,시스템 상태 API 정상 | health=ok | log_lines=2
SYS-003,Ops / Integrations,운영/연계 > 시스템 상태,관리자,qa,Pre-release,main@5409b8c,P1,Release,Hybrid,점검 스크립트 실행,터미널 접근 가능 / steps=1) 프로젝트 루트 이동 2) ./scripts/check_library_status.sh 실행,정상/주의/실패 요약과 세부 상태가 출력된다,manual:docs/management_tool_manual.md | runbook:docs/macos_qa_prod_runbook.md,shell:/Users/__DEV_USER__/apps/hahahoho-qa/scripts/check_library_status.sh --short /Users/__DEV_USER__/apps/hahahoho-qa,Verified,Pass,2026-04-18T15:22:48+09:00,Codex,,정상/주의/실패 요약과 scope detail 출력 확인 | missing state 시 AFP/외장 마운트 지연 및 launchd 로그 안내
SHELL-001,Cross-cutting Shell / UX,공통 헤더 / 테마 토글,공통,qa,Pre-release,main@5409b8c,P1,Release,Hybrid,day/night 토글과 저장 상태 유지 확인,로그인 완료 / 공통 shell 노출,토글 상태가 바뀌고 재로드 후 동일 테마가 유지된다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,browser QA smoke 2026-04-18 / theme toggle persisted,Verified,Pass,2026-04-18T13:00:03+09:00,Codex,,최근 global day/night 보정 반영
SHELL-002,Cross-cutting Shell / UX,공통 헤더 / utility 영역,공통,qa,Pre-release,main@5409b8c,P1,Release,Hybrid,locale/theme/help utility와 shell mode별 헤더 버튼 노출 확인,admin/ops 모드 전환 가능,현재 모드의 불필요한 헤더 버튼은 숨겨지고 utility 정렬이 깨지지 않는다,pytest:tests/test_ops_shell_bootstrap.py,browser QA smoke 2026-04-18 / header utility layout ok,Verified,Pass,2026-04-18T13:00:03+09:00,Codex,,최근 header utility chrome/버튼 제거 보정 반영
